time;V(/VOUT)1;
5.0928e-07;-0.129635;
5.1028e-07;-0.129635;
5.1128e-07;-0.129635;
5.1228e-07;-0.129635;
5.1328e-07;-0.129635;
5.1428e-07;-0.129635;
5.1528e-07;-0.129635;
5.1628e-07;-0.129635;
5.1728e-07;-0.129635;
5.1828e-07;-0.129635;
5.1928e-07;-0.129635;
5.2028e-07;-0.129635;
5.2128e-07;-0.129635;
5.2228e-07;-0.129635;
5.2328e-07;-0.129635;
5.2428e-07;-0.129635;
5.2528e-07;-0.129635;
5.2628e-07;-0.129635;
5.2728e-07;-0.129635;
5.2828e-07;-0.129635;
5.2928e-07;-0.129635;
5.3028e-07;-0.129635;
5.3128e-07;-0.129635;
5.3228e-07;-0.129635;
5.3328e-07;-0.129635;
5.3428e-07;-0.129635;
5.3528e-07;-0.129635;
5.3628e-07;-0.129635;
5.3728e-07;-0.129635;
5.3828e-07;-0.129635;
5.3928e-07;-0.129635;
5.4028e-07;-0.129635;
5.4128e-07;-0.129635;
5.4228e-07;-0.129635;
5.4328e-07;-0.129635;
5.4428e-07;-0.129635;
5.4528e-07;-0.129635;
5.4628e-07;-0.129635;
5.4728e-07;-0.129635;
5.4828e-07;-0.129635;
5.4928e-07;-0.129635;
5.5028e-07;-0.129635;
5.5128e-07;-0.129635;
5.5228e-07;-0.129635;
5.5328e-07;-0.129635;
5.5428e-07;-0.129635;
5.5528e-07;-0.129635;
5.5628e-07;-0.129635;
5.5728e-07;-0.129635;
5.5828e-07;-0.129635;
5.5928e-07;-0.129635;
5.6028e-07;-0.129635;
5.6128e-07;-0.129635;
5.6228e-07;-0.129635;
5.6328e-07;-0.129635;
5.6428e-07;-0.129635;
5.6528e-07;-0.129635;
5.6628e-07;-0.129635;
5.6728e-07;-0.129635;
5.6828e-07;-0.129635;
5.6928e-07;-0.129635;
5.7028e-07;-0.129635;
5.7128e-07;-0.129635;
5.7228e-07;-0.129635;
5.7328e-07;-0.129635;
5.7428e-07;-0.129635;
5.7528e-07;-0.129635;
5.7628e-07;-0.129635;
5.7728e-07;-0.129635;
5.7828e-07;-0.129635;
5.7928e-07;-0.129635;
5.8028e-07;-0.129635;
5.8128e-07;-0.129635;
5.8228e-07;-0.129635;
5.8328e-07;-0.129635;
5.8428e-07;-0.129635;
5.8528e-07;-0.129635;
5.8628e-07;-0.129635;
5.8728e-07;-0.129635;
5.8828e-07;-0.129635;
5.8928e-07;-0.129635;
5.9028e-07;-0.129635;
5.9128e-07;-0.129635;
5.9228e-07;-0.129635;
5.9328e-07;-0.129635;
5.9428e-07;-0.129635;
5.9528e-07;-0.129635;
5.9628e-07;-0.129635;
5.9728e-07;-0.129635;
5.9828e-07;-0.129635;
5.9928e-07;-0.129635;
6.0028e-07;-0.129635;
6.0128e-07;-0.129635;
6.0228e-07;-0.129635;
6.0328e-07;-0.129635;
6.0428e-07;-0.129635;
6.0528e-07;-0.129635;
6.0628e-07;-0.129635;
6.0728e-07;-0.129635;
6.0828e-07;-0.129635;
6.0928e-07;-0.129635;
6.1028e-07;-0.129635;
6.1128e-07;-0.129635;
6.1228e-07;-0.129635;
6.1328e-07;-0.129635;
6.1428e-07;-0.129635;
6.1528e-07;-0.129635;
6.1628e-07;-0.129635;
6.1728e-07;-0.129635;
6.1828e-07;-0.129635;
6.1928e-07;-0.129635;
6.2028e-07;-0.129635;
6.2128e-07;-0.129635;
6.2228e-07;-0.129635;
6.2328e-07;-0.129635;
6.2428e-07;-0.129635;
6.2528e-07;-0.129635;
6.2628e-07;-0.129635;
6.2728e-07;-0.129635;
6.2828e-07;-0.129635;
6.2928e-07;-0.129635;
6.3028e-07;-0.129635;
6.3128e-07;-0.129635;
6.3228e-07;-0.129635;
6.3328e-07;-0.129635;
6.3428e-07;-0.129635;
6.3528e-07;-0.129635;
6.3628e-07;-0.129635;
6.3728e-07;-0.129635;
6.3828e-07;-0.129635;
6.3928e-07;-0.129635;
6.4028e-07;-0.129635;
6.4128e-07;-0.129635;
6.4228e-07;-0.129635;
6.4328e-07;-0.129635;
6.4428e-07;-0.129635;
6.4528e-07;-0.129635;
6.4628e-07;-0.129635;
6.4728e-07;-0.129635;
6.4828e-07;-0.129635;
6.4928e-07;-0.129635;
6.5028e-07;-0.129635;
6.5128e-07;-0.129635;
6.5228e-07;-0.129635;
6.5328e-07;-0.129635;
